name, address, account type
WorldTrade ,0x2F12F53aC9c6e70040cD8fbcdDDE69578e7C76be,Contract
GDAC Exchange Token ,0x6A0B8F1e9a0aD411a8819EDc6E1a29Bd14e0F0a0,Contract
MUDRA Token ,0x28e4972C2F2aB76aF9303586dc5dFCbcA06948fD,Contract
Bitsten Token ,0xD4f6f9Ae14399fD5Eb8DFc7725F0094a1A7F5d80,Contract
Cobinhood (COB),0xb2F7EB1f2c37645bE61d73953035360e768D81E6,Contract
Digitra.com (DGTA),0x3590801eCFDF8C2f5e7a4fD171c2E3AF964F8b0D,Contract
Bitstorm ,0x771CdBDEdf2BcB03a8812742BBA00C63C26adACc,Contract
3X Short Ethereum Classic Token ,0xA340f0937a8c00DB11C83Cc16CEC12310160F0b6,Contract
Cyberbank Coin Warrant ,0x3B67728B1137CcdC08F78d1139704973b8799783,Contract
CNEXCHANGE ,0xb33B557a86D78639135541cb59dEE907E6b20345,Contract
QNFT Token ,0x50884C41E84B69f936d3bb90493504f21c7b881d,Contract
TAPROOT (TAPROOT),0x07B701aC44Aacb03d8Bed42eb85Ec38210bDf513,Contract
ATTLAS ,0xb9A6644bEf37286fC08e703Ecd15e9DEDf78d3eb,Contract
Rexus Exchange ,0xf4dC2CdAdd6406E2fa5a82E7cB16fEaF355869ca,Contract
Switch (ESH),0xD6a55C63865AffD67E2FB9f284F87b7a9E5FF3bD,Contract
Bitlim Token ,0x0a4d2FB8189Bb7DBCc2e566e8E1fbBFf637cb390,Contract
TeraBlock Token (TBC),0x9798dF2f5d213a872c787bD03b2b91F54D0D04A1,Contract
TALENT Coin ,0x9f300B4aC0Bf94cAD77e7E2d3F850352b8Bb264c,Contract
Bitfex ,0x25901F2a5A4bb0aaAbe2CDb24E0E15A0d49B015d,Contract
DACX Token ,0xF6ba659b419392b722ed63d4f5232822ECEFF262,Contract
ysv.finance ,0x0bE46BFD9ac3E4ad4908a6B49f3Ba82d9a2Abbc8,Contract
Fatcoin ,0x2eC95B8edA549B79a1248335A39d299d00Ed314C,Contract
Bitnordex ,0x60CE1dD8f8BFfd69994170ae66Bc50Be8bd6b839,Contract
Eterna ,0xe1747a23C44f445062078e3C528c9F4c28C50a51,Contract
CircleEx ,0x3F4E02741B155F5CE8D6190D294d4f916125B896,Contract
PayFair Token ,0xB41422D5a1d5d5C73c229686935b40F881502785,Contract
808TA (808TA),0x5b535EDfA75d7CB706044Da0171204E1c48D00e8,Contract
arbiswap ,0xad0887734461aF8C6033068bDE4047Dbe84074cc,Contract
Eterbase Coin ,0x4D13d624a87baa278733c068A174412AfA9ca6C8,Contract
BqtX Token ,0x9D8bE94D0612170cE533AC4d7B43cc3cd91E5a1A,Contract
Bithemoth ,0x9A03C4D95a8e31e1e11a4319066475CD12B22deE,Contract
GDT (GDT),0xc67B12049c2D0CF6e476BC64c7F82fc6C63cFFc5,Contract
DcoinToken ,0x4b5E009469BF927fdaC25DaC87a44B84292F9A7a,Contract
dDEXX Token ,0x20566d84d979841849478E3d17FC81445152B84b,Contract
Bitnordex ,0x60CE1dD8f8BFfd69994170ae66Bc50Be8bd6b839,Contract
Zeus Token ,0xe386B139Ed3715Ca4B18Fd52671bDcea1cdFE4b1,Contract
CoinSWOP (cSWOP),0x191baFe4e3888Ec289753c7d592634e3Abe1eE14,Contract
CACO ,0xae53BDA1E08E1D733156615Bbc2d9111C8eC4545,Contract
HooToken ,0xD241D7b5cb0eF9fC79D9e4eb9e21F5e209f52f7D,Contract
Bitpanda Ecosystem Token (BEST),0x1B073382E63411E3BcfFE90aC1B9A43feFa1Ec6F,Contract
Ziggurat Token ,0xe760A89967d8C7Fa638eeBfC15A77BA107674021,Contract
GoCryptoMe (GCME),0x9528cCEb678B90dAf02cA5cA45622D5cBaF58A30,Contract
Digital Coin ,0x2D8e1dd483008c6843b9CF644Bad7fB25bF52b84,Contract
Tcash ,0x7051620d11042c4335069AaA4f10Cd3B4290C681,Contract
Yo Token (YOT),0xeBF4CA5319F406602EEFf68da16261f1216011B5,Contract
Globex ,0x03282f2D7834a97369Cad58f888aDa19EeC46ab6,Contract
d̔͆͝3̾͠v͆̾͒1͘̚͝l͋̒̀ ,0x49f8887e733f015aDCe55c7B30c23a77316B2B25,Contract
ACEX ,0x0BE7C99Ff48FCcb4aA8096d174cAcf079c3d1717,Contract
Switch (ESH),0xD6a55C63865AffD67E2FB9f284F87b7a9E5FF3bD,Contract
MixTrust (MXT),0x6251E725CD45Fb1AF99354035a414A2C0890B929,Contract
Destiny Success ,0x36c85687eeDAe01C50eB7d04d74C0ec74f930c54,Contract
Bitlocus Token ,0x7dF4bf9de0BE6bf307d96c43503ea71E46aeD292,Contract
ZBToken ,0xBd0793332e9fB844A52a205A233EF27a5b34B927,Contract
ExtStock Token ,0xeF65887a05415bF6316204b5ffB350d4d1a19BBA,Contract
